ID	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)
MAG00051	f__Lachnospiraceae (UID1256)	33	333	171	97.86	0.58	0	2509750	30105	2402	2402	35871	380	317	305	2554	2437
MAG00052	o__Clostridiales (UID1212)	172	263	149	85.16	0.84	0	1963199	18013	2097	2097	6537	343	270	261	2427	2372
MAG00053	o__Bacteroidales (UID2657)	160	492	269	97.31	0.74	50	4949844	74252	4086	4086	76192	432	361	343	1958	1864
MAG00054	o__Clostridiales (UID1226)	155	278	158	99.05	0.06	100	2746310	30156	2516	2516	60635	383	317	305	4532	4361
MAG00055	o__Clostridiales (UID1226)	155	278	158	95.25	0	0	3526422	45124	3198	3198	64603	390	317	303	2995	2853
MAG00056	o__Bacteroidales (UID2657)	160	492	269	95.44	0	0	4144424	60357	3542	3542	174336	425	351	334	2240	2129
MAG00057	o__Clostridiales (UID1212)	172	261	147	87.19	0.23	100	2822030	25561	2932	2932	7581	359	286	277	1720	1649
MAG00058	p__Firmicutes (UID1022)	100	295	158	95.76	1.42	0	2243466	37638	2298	2298	15286	355	294	277	2207	2014
MAG00059	k__Bacteria (UID2372)	131	177	106	51.05	2.67	50	2007310	35459	2794	2794	1936	278	216	203	1377	1285
MAG00060	g__Bacteroides (UID2691)	33	839	309	95.28	2.57	24	5498450	88547	4339	4339	56617	466	382	362	2484	2295
MAG00061	f__Lachnospiraceae (UID1286)	57	420	207	96.86	0.48	100	2314582	32660	2114	2114	117584	396	326	311	1793	1712
MAG00062	o__Clostridiales (UID1212)	172	261	147	97.28	0	0	3625432	38250	3288	3288	77553	387	319	308	3574	3320
MAG00063	o__Clostridiales (UID1212)	172	257	149	88.96	1.34	50	2562374	21456	2655	2655	11567	364	290	282	1621	1550
MAG00064	o__Bacteroidales (UID2621)	198	427	260	97.37	0.13	0	3912146	58121	3146	3146	101852	451	373	355	1895	1791
MAG00065	f__Bifidobacteriaceae (UID1462)	65	476	217	99.77	3.23	100	2311798	23420	1914	1914	180495	424	355	343	3173	3078
MAG00066	o__Clostridiales (UID1226)	155	278	158	68.58	1.27	25	3440949	39082	3426	3426	7004	354	295	284	1934	1828
MAG00067	k__Bacteria (UID2372)	131	177	106	63.21	0	0	2463578	28094	3107	3107	2983	283	228	219	1303	1276
MAG00068	o__Bacteroidales (UID2621)	198	427	260	98.34	0.13	0	3919830	58323	3148	3148	101852	450	374	355	2484	2295
MAG00069	p__Firmicutes (UID1022)	100	295	158	79.87	2.91	0	1877535	31376	2096	2096	5805	324	270	255	1619	1503
MAG00070	g__Bacteroides (UID2691)	33	839	309	98.66	0.08	0	5797820	92010	4491	4491	145826	468	389	369	2176	2032
MAG00071	o__Clostridiales (UID1212)	172	263	149	99.33	1.34	0	2436041	40762	2153	2153	225731	399	331	312	2466	2312
MAG00072	o__Clostridiales (UID1226)	155	278	158	82.85	1.11	0	4964514	54641	5233	5233	7880	346	283	273	2384	2277
MAG00073	p__Actinobacteria (UID2112)	31	211	124	83.47	2	0	2885821	23258	3137	3137	3838	340	269	262	1621	1565
MAG00074	o__Bacteroidales (UID2654)	163	486	266	99.25	0.56	50	5292367	83728	4323	4323	184138	450	368	349	1893	1812
MAG00075	o__Bacteroidales (UID2657)	160	492	269	95.45	0	0	4752628	71271	3931	3931	70565	432	361	343	1958	1864
MAG00076	o__Clostridiales (UID1342)	32	340	177	93.17	1.69	14.29	4098096	45223	3912	3912	42631	370	307	296	4097	3935
MAG00077	f__Bifidobacteriaceae (UID1460)	70	502	225	100	0	0	1908191	19543	1570	1570	201215	424	356	344	3106	3020
MAG00078	o__Bacteroidales (UID2657)	160	492	269	99.26	0.12	0	3627953	55069	2999	2999	99632	437	367	348	5547	5207
MAG00079	o__Bacteroidales (UID2657)	160	492	269	98.14	0	0	3990718	58092	3407	3407	174336	425	352	335	2041	1956
MAG00080	o__Clostridiales (UID1212)	172	257	149	89.26	0	0	2667636	22618	2660	2660	65630	374	297	289	1387	1353
MAG00081	p__Firmicutes (UID1022)	100	295	158	59.39	0	0	1261506	13959	1263	1263	24754	352	294	283	3444	3192
MAG00082	o__Clostridiales (UID1212)	172	261	147	88.9	0.68	0	2217450	22605	2039	2039	7335	374	311	300	1840	1713
MAG00083	o__Clostridiales (UID1212)	172	261	147	95.92	0	0	2416160	23760	2122	2122	68666	389	331	320	3574	3320
MAG00084	o__Clostridiales (UID1226)	155	278	158	96.65	1.29	66.67	2808041	30802	2570	2570	61482	383	317	305	4532	4361
MAG00085	k__Bacteria (UID2372)	131	177	106	98.93	2.36	33.33	3372586	59500	3416	3417	25178	360	293	275	2868	2665
MAG00086	o__Clostridiales (UID1226)	155	278	158	72.01	2.61	18.75	2133293	27008	2193	2193	5395	348	285	273	1570	1478
MAG00087	g__Lactobacillus (UID436)	31	586	184	99.46	0	0	2927590	33899	2729	2729	141463	364	306	294	3475	3288
MAG00088	g__Bacteroides (UID2691)	33	839	309	97.96	0.06	0	5581885	89889	4419	4419	95390	462	382	361	2014	1914
MAG00089	f__Lachnospiraceae (UID1286)	57	420	207	96.86	0	0	2316624	32724	2107	2107	120396	394	328	312	1793	1712
MAG00090	o__Clostridiales (UID1212)	172	263	149	97.99	0	0	2341924	19403	2323	2323	50426	360	295	286	2798	2673
MAG00091	f__Lachnospiraceae (UID1286)	57	420	207	94.61	0.48	0	3072995	42071	2836	2836	28579	391	317	302	2432	2302
MAG00092	o__Clostridiales (UID1212)	172	263	149	66.39	0.89	0	1078837	11646	1399	1399	2469	296	230	222	1052	1028
MAG00093	o__Clostridiales (UID1212)	172	263	149	94.85	0	0	2031556	19398	1981	1981	57548	367	300	291	2936	2831
MAG00094	o__Clostridiales (UID1212)	172	263	149	85.4	1.34	0	2064113	27180	2285	2285	5713	336	274	262	1708	1617
MAG00095	g__Prevotella (UID2724)	55	567	296	98.99	1.76	14.29	3582395	54659	3100	3100	99623	428	340	322	2513	2335
MAG00096	k__Bacteria (UID2982)	88	229	147	92.62	0	0	2594109	27894	2179	2179	199976	412	352	339	2720	2502
MAG00097	o__Clostridiales (UID1212)	172	257	149	59.4	2.01	33.33	1896313	15693	2293	2293	3450	317	249	243	2362	2273
MAG00098	k__Bacteria (UID203)	5449	102	56	66.96	0	0	1793752	17693	1859	1859	5414	351	289	280	1924	1788
MAG00099	o__Clostridiales (UID1226)	155	278	158	83.05	0.63	100	2404140	31029	2231	2231	11446	401	324	310	2992	2883
MAG00100	o__Clostridiales (UID1226)	155	278	158	98.68	0.63	0	2822050	32911	2533	2533	53939	403	330	317	1579	1505
MAG00101	p__Actinobacteria (UID2112)	31	211	124	99.19	0	0	2756256	22770	2378	2378	48625	418	338	328	1772	1703
MAG00102	p__Bacteroidetes (UID2605)	350	314	208	84.81	1.44	60	2737521	32165	2382	2382	14829	425	349	336	2007	1936
MAG00103	o__Clostridiales (UID1212)	172	263	149	84.9	0.23	0	1597647	20739	1739	1739	5002	327	268	256	2096	1921
MAG00104	f__Bifidobacteriaceae (UID1462)	65	476	217	98.56	0.55	100	2147086	21785	1822	1822	24902	414	346	335	3173	3078
MAG00105	o__Clostridiales (UID1212)	172	257	149	97.32	0.13	0	3132400	26886	3112	3112	44009	369	300	291	1923	1834
MAG00106	o__Clostridiales (UID1212)	172	261	147	90.14	0.68	100	2196824	22460	2035	2035	59591	385	316	305	1672	1587
MAG00107	p__Proteobacteria (UID3887)	1487	255	158	88.87	2.53	100	1722592	19268	1853	1853	5505	346	278	268	1438	1382
MAG00108	o__Clostridiales (UID1212)	172	263	149	99.33	0.67	0	2465298	43612	2162	2162	97219	402	335	315	7968	7417
MAG00109	f__Lachnospiraceae (UID1256)	33	333	171	85.28	0.88	33.33	2179814	26973	1975	1975	38324	389	325	312	2687	2487
MAG00110	o__Selenomonadales (UID1024)	64	334	167	99.98	1.5	0	2418497	31212	2271	2271	270981	382	321	307	2126	2017
MAG00111	o__Bacteroidales (UID2657)	160	492	269	94.41	0.74	50	4042169	60185	3359	3359	108578	440	366	348	2263	2136
MAG00112	p__Bacteroidetes (UID2605)	350	314	208	89.9	1.44	0	1866265	20479	1603	1603	109873	409	336	323	1801	1696
MAG00113	k__Bacteria (UID203)	5449	103	57	56.61	0	0	2252737	27875	2059	2059	14190	379	316	303	2995	2854
MAG00114	f__Lachnospiraceae (UID1256)	33	333	171	60.62	2.05	0	1497900	18497	1504	1504	7912	363	298	286	1404	1358
MAG00115	f__Lachnospiraceae (UID1286)	57	420	207	86.78	1.37	33.33	2177849	30816	2319	2319	5605	348	282	268	1515	1454
MAG00116	o__Clostridiales (UID1212)	172	261	147	83.28	1.95	25	2009536	20430	2011	2011	10791	360	296	285	1309	1263
MAG00117	f__Lachnospiraceae (UID1286)	57	420	207	99.03	1.21	0	3046435	40373	2882	2882	222194	386	319	305	1518	1449
MAG00118	o__Clostridiales (UID1120)	304	247	141	54.11	1.42	50	1128623	12467	1361	1361	2892	312	250	241	1629	1539
MAG00119	f__Lachnospiraceae (UID1286)	57	420	207	51.49	1.9	14.29	1282173	15797	1433	1433	3301	342	273	262	1337	1252
MAG00120	o__Clostridiales (UID1212)	172	261	147	96.28	1.36	100	3471910	36911	3100	3100	33811	393	327	315	3563	3306
MAG00121	p__Actinobacteria (UID2112)	31	211	124	55.18	0.81	0	1614891	12796	1895	1895	2538	308	245	238	1077	1053
MAG00122	p__Actinobacteria (UID2112)	31	211	124	99.46	2.49	50	2287520	20876	2030	2030	56352	390	328	318	3578	3317
MAG00123	o__Clostridiales (UID1212)	172	263	149	99.33	1.34	100	2595060	44055	2398	2398	38822	382	318	300	2395	2237
MAG00124	o__Clostridiales (UID1212)	172	261	147	91.55	2.04	66.67	2208497	23029	2001	2001	6801	385	319	308	1519	1451
MAG00125	o__Clostridiales (UID1212)	172	261	147	91.75	0.91	50	2786087	24954	2838	2838	7509	355	290	281	2125	2061
MAG00126	o__Clostridiales (UID1212)	172	263	149	97.99	1.01	0	2944340	53305	2520	2520	91098	428	354	333	13308	12285
MAG00127	f__Lachnospiraceae (UID1256)	33	333	171	53.8	0.1	100	2046186	25961	1954	1954	89504	392	319	306	2325	2188
MAG00128	f__Lachnospiraceae (UID1256)	33	333	171	90.16	0	0	2411515	30020	2246	2246	36819	375	315	302	3290	3020
MAG00129	o__Clostridiales (UID1212)	172	263	149	51.98	1.68	0	2778486	48975	3351	3351	2904	306	242	227	1851	1704
MAG00130	o__Clostridiales (UID1212)	172	263	149	98.66	0	0	1868864	32346	1721	1722	153283	389	328	309	2781	2514
MAG00131	o__Clostridiales (UID1226)	155	274	157	99.36	0	0	2945254	39484	2652	2652	87583	401	333	319	3549	3268
MAG00132	o__Clostridiales (UID1120)	304	247	141	97.87	0	0	1438587	19295	1338	1339	91112	389	329	314	1562	1462
MAG00133	f__Lachnospiraceae (UID1256)	33	333	171	97.05	1.13	50	2289340	29272	2034	2034	24086	412	336	322	4108	3853
MAG00134	f__Lachnospiraceae (UID1256)	33	333	171	72.51	3.04	50	2011651	24773	1941	1941	77053	374	307	294	2278	2126
MAG00135	f__Lachnospiraceae (UID1255)	90	354	174	67.36	1.44	33.33	1726359	21360	1693	1693	8419	370	301	289	2011	1859
MAG00136	o__Clostridiales (UID1212)	172	260	146	93.31	1.26	33.33	2532734	35806	2643	2643	9079	356	284	270	2493	2237
MAG00137	o__Clostridiales (UID1212)	172	263	149	97.65	0.4	0	1975832	27623	1861	1861	41335	385	317	302	2743	2618
MAG00138	o__Clostridiales (UID1120)	304	247	141	96.81	0	0	2081601	24010	1945	1945	88197	390	319	307	3231	3059
MAG00139	o__Clostridiales (UID1212)	172	263	149	97.27	0.2	25	2190329	27193	2040	2040	133333	384	319	306	3387	3192
MAG00140	f__Lachnospiraceae (UID1286)	57	420	207	90.75	0.12	0	2404079	34293	2386	2386	10857	366	301	287	1593	1536
MAG00141	o__Clostridiales (UID1226)	155	278	158	68.83	0	0	1611650	19939	1496	1496	100894	394	328	315	2706	2563
MAG00142	o__Clostridiales (UID1212)	172	263	149	97.99	0.34	0	2332803	38317	2238	2238	78607	372	302	284	2147	1919
MAG00143	p__Actinobacteria (UID2112)	31	211	124	92.92	2.5	25	2052974	18494	1936	1936	10240	374	309	300	3557	3302
MAG00144	o__Clostridiales (UID1212)	172	261	147	90.06	1.7	66.67	2000979	20611	1951	1951	17214	363	303	293	1512	1447
MAG00145	o__Bacteroidales (UID2621)	198	427	260	91.38	0.9	50	4093181	60845	3586	3586	10053	429	345	328	2488	2305
MAG00146	g__Bacteroides (UID2691)	33	839	309	92.95	1.18	29.27	5904874	93654	4633	4633	60759	467	385	364	2176	2032
MAG00147	k__Bacteria (UID203)	5449	103	57	58.77	0	0	2321893	28791	2249	2249	9951	380	309	296	1846	1759
MAG00148	f__Lachnospiraceae (UID1286)	57	420	207	91.31	0.85	25	2307324	32923	2330	2330	8214	373	297	283	1593	1536
MAG00149	o__Clostridiales (UID1212)	172	261	147	99.32	0	0	3052013	32689	2906	2906	95972	377	308	296	3026	2899
MAG00150	p__Actinobacteria (UID2112)	31	211	124	96.62	0	0	2293981	19112	2069	2069	27745	378	320	311	1538	1483
MAG00151	p__Actinobacteria (UID2112)	31	211	124	93.95	0.67	100	2618203	21726	2221	2221	79886	421	342	332	1772	1703
MAG00152	p__Bacteroidetes (UID2605)	350	314	208	98.97	1.1	57.14	2478250	28129	2213	2213	67531	400	323	310	1801	1696
MAG00153	k__Bacteria (UID2372)	131	177	106	99.06	0	0	2777802	48384	2968	2968	100133	343	284	268	2911	2665
MAG00154	f__Lachnospiraceae (UID1256)	33	333	171	98.58	0.29	100	2434968	31215	2182	2182	39573	409	334	319	4108	3853
MAG00155	p__Proteobacteria (UID3887)	1487	255	158	80.33	2.2	87.5	1809684	20328	1874	1874	5982	354	286	275	1670	1535
MAG00156	f__Lachnospiraceae (UID1256)	33	333	171	89	0.45	33.33	2203361	27175	2037	2037	47941	384	326	312	2737	2598
MAG00157	g__Prevotella (UID2724)	55	567	296	98.54	1.08	0	3203755	49288	2643	2643	65637	440	359	340	2513	2335
MAG00158	o__Clostridiales (UID1212)	172	263	149	98.66	0	0	2509975	21267	2460	2460	72082	362	297	289	3493	3316
MAG00159	k__Bacteria (UID203)	5449	104	58	83.97	0	0	6278547	101031	4894	4894	184020	481	390	369	2485	2305
MAG00160	o__Clostridiales (UID1212)	172	261	147	96.03	0.68	0	2371857	25047	2125	2125	7670	388	323	311	1856	1705
MAG00161	o__Clostridiales (UID1212)	172	257	149	79.4	4.75	26.67	2432015	19564	2495	2495	16343	354	290	282	1513	1468
MAG00162	f__Lachnospiraceae (UID1256)	33	333	171	82.14	0	0	2037877	24094	1939	1939	10780	369	297	284	2115	1991
MAG00163	k__Bacteria (UID203)	5449	103	57	65.79	0	0	2022149	26020	1914	1914	11643	367	301	288	1513	1451
MAG00164	f__Lachnospiraceae (UID1286)	57	420	207	94.52	1.37	25	2574761	34060	2410	2410	112048	396	327	312	1518	1449
MAG00165	o__Clostridiales (UID1212)	172	257	149	92.95	0.67	100	2679916	23448	2574	2574	110881	380	310	301	3185	3037
MAG00166	o__Clostridiales (UID1226)	155	278	158	52.34	2.15	0	1578616	19873	1716	1716	4033	356	278	267	3285	3047
MAG00167	p__Actinobacteria (UID2112)	31	211	124	97.11	0.81	100	2114333	18929	1889	1889	44928	388	325	315	3578	3317
MAG00168	o__Clostridiales (UID1212)	172	263	149	97.32	0.67	0	2510661	43958	2198	2198	211177	404	336	316	7968	7417
MAG00169	o__Clostridiales (UID1212)	172	261	147	94.77	0	0	2345761	23166	2067	2067	45708	391	331	320	3563	3306
MAG00170	f__Lachnospiraceae (UID1286)	57	420	207	95.17	1.85	14.29	2914801	36671	2657	2658	53033	393	328	314	1793	1658
MAG00171	f__Lachnospiraceae (UID1286)	57	420	207	98.69	0.24	0	3085543	36981	2808	2808	76020	397	329	316	2666	2530
MAG00172	o__Bacteroidales (UID2657)	160	492	269	99.26	0	0	4561553	67964	3850	3850	184991	437	359	341	2119	2011
MAG00173	o__Selenomonadales (UID1024)	64	334	167	100	1.5	0	2419576	31223	2273	2273	270981	383	321	307	2126	2017
MAG00174	o__Clostridiales (UID1226)	155	278	158	61.58	0.63	0	1839202	23121	1645	1645	25389	389	324	310	1570	1478
MAG00175	o__Clostridiales (UID1212)	172	261	147	76.06	2.39	33.33	2376549	21249	2603	2603	4587	331	270	262	1358	1317
MAG00176	o__Clostridiales (UID1212)	172	263	149	98.39	0.67	100	2133753	20764	2121	2121	36627	361	293	283	1537	1473
MAG00177	o__Clostridiales (UID1120)	304	247	141	95.39	0	0	2110771	24491	2004	2004	55138	390	314	302	3141	2953
MAG00178	f__Lachnospiraceae (UID1256)	33	333	171	94.5	4	11.11	3474627	46944	3385	3385	31044	369	303	289	3364	3068
MAG00179	f__Bifidobacteriaceae (UID1462)	65	476	217	53.89	2.82	0	1391090	13800	1685	1685	2115	321	244	236	1317	1232
MAG00180	o__Clostridiales (UID1212)	172	263	149	97.99	3.02	60	3126868	56937	2689	2689	109710	428	353	332	13825	12756
MAG00181	o__Clostridiales (UID1212)	172	263	149	99.33	0	0	2644681	45007	2400	2400	143706	387	324	305	2395	2237
MAG00182	k__Bacteria (UID2982)	88	229	147	97.96	0.68	0	2625226	28094	2323	2323	20658	401	335	323	3153	2942
MAG00183	f__Lachnospiraceae (UID1255)	90	354	174	90.6	1.55	0	2668297	34139	2403	2403	15930	394	325	310	3382	3116
MAG00184	k__Bacteria (UID203)	5449	104	58	50.86	2.59	50	1803952	19611	1723	1723	7194	391	320	309	2007	1936
MAG00185	o__Bacteroidales (UID2657)	160	492	269	98.94	2.79	72.73	4657052	69057	3853	3853	103390	438	366	349	2309	2172
MAG00186	f__Lachnospiraceae (UID1256)	33	333	171	93.7	0	0	2504224	31484	2398	2398	34413	370	310	297	1970	1856
MAG00187	o__Clostridiales (UID1212)	172	263	149	97.99	0	0	1928880	21597	1843	1843	81087	378	308	296	1449	1394
MAG00188	o__Clostridiales (UID1226)	155	278	158	87.82	0	0	2415853	26279	2427	2427	10055	372	303	292	3941	3806
MAG00189	o__Clostridiales (UID1226)	155	278	158	93.13	3.5	50	2523228	32510	2277	2277	16273	408	332	318	3290	3053
MAG00190	o__Bacteroidales (UID2621)	198	427	260	97.12	0	0	4355858	66079	3587	3587	146008	441	370	352	2473	2294
MAG00191	o__Clostridiales (UID1226)	155	278	158	93.43	2.53	0	3235450	41141	2943	2943	24225	387	319	305	3289	3012
MAG00192	p__Actinobacteria (UID2112)	31	211	124	52.48	0	0	1914566	15510	2309	2309	2438	313	244	238	2211	2172
MAG00193	o__Clostridiales (UID1212)	172	261	147	99.32	0.91	100	2736354	28939	2613	2613	61521	383	309	298	2777	2658
MAG00194	p__Firmicutes (UID1022)	100	295	158	100	0.63	0	2539305	43147	2492	2492	57135	355	303	286	4376	3981
MAG00195	p__Proteobacteria (UID3887)	1487	256	160	70.49	0.62	0	1438743	11798	1750	1750	2252	319	246	239	1625	1585
MAG00196	o__Clostridiales (UID1212)	172	261	147	95.67	0	0	2220703	22019	1938	1938	55222	391	336	324	3578	3316
MAG00197	o__Selenomonadales (UID1024)	64	334	167	99.98	1.5	0	2292426	29598	2143	2143	199407	383	323	309	2509	2366
MAG00198	o__Clostridiales (UID1226)	155	278	158	98.42	0	0	2647737	28919	2347	2347	72170	387	326	314	4532	4359
MAG00199	f__Lachnospiraceae (UID1286)	57	420	207	97.67	0.48	0	2822855	41068	2671	2671	152230	387	313	298	2047	1893
MAG00200	o__Clostridiales (UID1226)	155	278	158	94.34	0.37	50	2463411	26034	2378	2378	16134	372	309	298	3254	3128
MAG00201	o__Clostridiales (UID1226)	155	278	158	94.06	0.79	50	3169069	37241	2790	2790	34780	392	335	321	5094	4864
MAG00202	o__Clostridiales (UID1212)	172	261	147	78.81	0	0	1997858	19823	1978	1978	9355	360	293	283	1588	1520
MAG00203	f__Lachnospiraceae (UID1256)	33	333	171	98.25	0.39	75	2398768	29672	2246	2246	47164	378	321	307	2737	2598
MAG00204	k__Bacteria (UID2372)	131	177	106	99.06	0	0	2741933	47555	2870	2870	114639	350	290	273	2564	2339
MAG00205	f__Lachnospiraceae (UID1255)	90	354	174	93.42	2.01	0	2719719	34541	2414	2414	25519	393	327	312	3382	3117
MAG00206	f__Lachnospiraceae (UID1256)	33	333	171	51.75	0.1	100	1946636	25025	1790	1790	110082	390	318	304	2640	2443
MAG00207	o__Clostridiales (UID1212)	172	263	149	53.6	0.92	0	1596821	19480	1913	1913	2714	313	249	239	1425	1362
MAG00208	o__Clostridiales (UID1212)	172	263	149	50.89	2.15	7.14	2495894	32983	2915	2915	2548	327	259	247	2282	2116
MAG00209	o__Clostridiales (UID1212)	172	257	149	96.64	0.13	0	3212521	28093	3176	3176	41613	375	302	293	3176	3069
MAG00210	p__Actinobacteria (UID2112)	31	211	124	99.19	0	0	1822269	15084	1529	1529	91643	410	349	340	2644	2520
