ID	secondary_cluster	threshold	cluster_method	comparison_algorithm	primary_cluster	SGB_id
MAG00083	714_1	0.05	average	ANImf	714	SGB714
MAG00084	280_1	0.05	average	ANImf	280	SGB280
MAG00085	116_1	0.05	average	ANImf	116	SGB116
MAG00086	216_1	0.05	average	ANImf	216	SGB216
MAG00087	817_1	0.05	average	ANImf	817	SGB817
MAG00088	426_1	0.05	average	ANImf	426	SGB426
MAG00089	239_1	0.05	average	ANImf	239	SGB239
MAG00090	761_1	0.05	average	ANImf	761	SGB761
MAG00091	237_1	0.05	average	ANImf	237	SGB237
MAG00092	332_1	0.05	average	ANImf	332	SGB332
MAG00093	762_1	0.05	average	ANImf	762	SGB762
MAG00094	202_1	0.05	average	ANImf	202	SGB202
MAG00095	354_1	0.05	average	ANImf	354	SGB354
MAG00096	475_1	0.05	average	ANImf	475	SGB475
MAG00097	757_1	0.05	average	ANImf	757	SGB757
MAG00098	712_1	0.05	average	ANImf	712	SGB712
MAG00099	305_1	0.05	average	ANImf	305	SGB305
MAG00100	274_1	0.05	average	ANImf	274	SGB274
MAG00101	567_1	0.05	average	ANImf	567	SGB567
MAG00102	405_1	0.05	average	ANImf	405	SGB405
MAG00103	319_2	0.05	average	ANImf	319	SGB319
MAG00104	605_1	0.05	average	ANImf	605	SGB605
MAG00105	758_1	0.05	average	ANImf	758	SGB758
MAG00106	700_2	0.05	average	ANImf	700	SGB700
MAG00107	479_2	0.05	average	ANImf	479	SGB479
MAG00108	197_1	0.05	average	ANImf	197	SGB197
MAG00109	258_3	0.05	average	ANImf	258	SGB258
MAG00110	516_1	0.05	average	ANImf	516	SGB516
MAG00111	440_1	0.05	average	ANImf	440	SGB440
MAG00112	402_1	0.05	average	ANImf	402	SGB402
MAG00113	216_1	0.05	average	ANImf	216	SGB216
MAG00114	261_1	0.05	average	ANImf	261	SGB261
MAG00115	239_1	0.05	average	ANImf	239	SGB239
MAG00116	703_1	0.05	average	ANImf	703	SGB703
MAG00117	241_1	0.05	average	ANImf	241	SGB241
MAG00118	33_1	0.05	average	ANImf	33	SGB33
MAG00119	140_2	0.05	average	ANImf	140	SGB140
MAG00120	714_1	0.05	average	ANImf	714	SGB714
MAG00121	599_1	0.05	average	ANImf	599	SGB599
MAG00122	592_11	0.05	average	ANImf	592	SGB592
MAG00123	192_1	0.05	average	ANImf	192	SGB192
MAG00124	711_1	0.05	average	ANImf	711	SGB711
MAG00125	307_1	0.05	average	ANImf	307	SGB307
MAG00126	40_1	0.05	average	ANImf	40	SGB40
MAG00127	247_1	0.05	average	ANImf	247	SGB247
MAG00128	261_1	0.05	average	ANImf	261	SGB261
MAG00129	197_1	0.05	average	ANImf	197	SGB197
MAG00130	56_1	0.05	average	ANImf	56	SGB56
MAG00131	208_1	0.05	average	ANImf	208	SGB208
MAG00132	527_1	0.05	average	ANImf	527	SGB527
MAG00133	251_1	0.05	average	ANImf	251	SGB251
MAG00134	262_1	0.05	average	ANImf	262	SGB262
MAG00135	201_1	0.05	average	ANImf	201	SGB201
MAG00136	689_1	0.05	average	ANImf	689	SGB689
MAG00137	63_1	0.05	average	ANImf	63	SGB63
MAG00138	33_1	0.05	average	ANImf	33	SGB33
MAG00139	49_2	0.05	average	ANImf	49	SGB49
MAG00140	239_1	0.05	average	ANImf	239	SGB239
MAG00141	218_1	0.05	average	ANImf	218	SGB218
MAG00142	37_1	0.05	average	ANImf	37	SGB37
MAG00143	592_7	0.05	average	ANImf	592	SGB592
MAG00144	703_1	0.05	average	ANImf	703	SGB703
MAG00145	465_0	0.05	average	ANImf	465	SGB465
MAG00146	424_2	0.05	average	ANImf	424	SGB424
MAG00147	224_1	0.05	average	ANImf	224	SGB224
MAG00148	239_1	0.05	average	ANImf	239	SGB239
MAG00149	700_2	0.05	average	ANImf	700	SGB700
MAG00150	599_1	0.05	average	ANImf	599	SGB599
MAG00151	567_1	0.05	average	ANImf	567	SGB567
MAG00152	402_1	0.05	average	ANImf	402	SGB402
MAG00153	110_2	0.05	average	ANImf	110	SGB110
MAG00154	251_1	0.05	average	ANImf	251	SGB251
MAG00155	479_2	0.05	average	ANImf	479	SGB479
MAG00156	262_2	0.05	average	ANImf	262	SGB262
MAG00157	354_1	0.05	average	ANImf	354	SGB354
MAG00158	761_1	0.05	average	ANImf	761	SGB761
MAG00159	447_1	0.05	average	ANImf	447	SGB447
MAG00160	711_1	0.05	average	ANImf	711	SGB711
MAG00161	758_1	0.05	average	ANImf	758	SGB758
MAG00162	258_3	0.05	average	ANImf	258	SGB258
MAG00163	237_1	0.05	average	ANImf	237	SGB237
MAG00164	241_1	0.05	average	ANImf	241	SGB241
MAG00165	757_1	0.05	average	ANImf	757	SGB757
MAG00166	305_1	0.05	average	ANImf	305	SGB305
MAG00167	592_11	0.05	average	ANImf	592	SGB592
MAG00168	197_1	0.05	average	ANImf	197	SGB197
MAG00169	714_1	0.05	average	ANImf	714	SGB714
MAG00170	140_2	0.05	average	ANImf	140	SGB140
MAG00171	178_1	0.05	average	ANImf	178	SGB178
MAG00172	440_1	0.05	average	ANImf	440	SGB440
MAG00173	516_1	0.05	average	ANImf	516	SGB516
MAG00174	216_1	0.05	average	ANImf	216	SGB216
MAG00175	307_1	0.05	average	ANImf	307	SGB307
MAG00176	731_1	0.05	average	ANImf	731	SGB731
MAG00177	33_1	0.05	average	ANImf	33	SGB33
MAG00178	261_1	0.05	average	ANImf	261	SGB261
MAG00179	605_1	0.05	average	ANImf	605	SGB605
MAG00180	40_1	0.05	average	ANImf	40	SGB40
MAG00181	192_1	0.05	average	ANImf	192	SGB192
MAG00182	475_1	0.05	average	ANImf	475	SGB475
MAG00183	200_1	0.05	average	ANImf	200	SGB200
MAG00184	405_1	0.05	average	ANImf	405	SGB405
MAG00185	440_1	0.05	average	ANImf	440	SGB440
MAG00186	261_1	0.05	average	ANImf	261	SGB261
MAG00187	332_1	0.05	average	ANImf	332	SGB332
MAG00188	146_1	0.05	average	ANImf	146	SGB146
MAG00189	305_1	0.05	average	ANImf	305	SGB305
MAG00190	460_1	0.05	average	ANImf	460	SGB460
MAG00191	216_1	0.05	average	ANImf	216	SGB216
MAG00192	576_1	0.05	average	ANImf	576	SGB576
MAG00193	703_1	0.05	average	ANImf	703	SGB703
MAG00194	38_1	0.05	average	ANImf	38	SGB38
MAG00195	485_1	0.05	average	ANImf	485	SGB485
MAG00196	714_1	0.05	average	ANImf	714	SGB714
MAG00197	516_1	0.05	average	ANImf	516	SGB516
MAG00198	280_1	0.05	average	ANImf	280	SGB280
MAG00199	239_1	0.05	average	ANImf	239	SGB239
MAG00200	154_1	0.05	average	ANImf	154	SGB154
MAG00201	144_1	0.05	average	ANImf	144	SGB144
MAG00202	702_1	0.05	average	ANImf	702	SGB702
MAG00203	262_2	0.05	average	ANImf	262	SGB262
MAG00204	110_2	0.05	average	ANImf	110	SGB110
MAG00205	200_1	0.05	average	ANImf	200	SGB200
MAG00206	258_2	0.05	average	ANImf	258	SGB258
MAG00207	182_2	0.05	average	ANImf	182	SGB182
MAG00208	150_1	0.05	average	ANImf	150	SGB150
MAG00209	758_1	0.05	average	ANImf	758	SGB758
MAG00210	597_1	0.05	average	ANImf	597	SGB597
MAG00211	676_1	0.05	average	ANImf	676	SGB676
MAG00212	605_1	0.05	average	ANImf	605	SGB605
MAG00213	260_1	0.05	average	ANImf	260	SGB260
MAG00214	247_1	0.05	average	ANImf	247	SGB247
MAG00215	239_1	0.05	average	ANImf	239	SGB239
MAG00216	154_1	0.05	average	ANImf	154	SGB154
MAG00217	262_2	0.05	average	ANImf	262	SGB262
MAG00218	597_1	0.05	average	ANImf	597	SGB597
MAG00219	241_1	0.05	average	ANImf	241	SGB241
MAG00220	237_1	0.05	average	ANImf	237	SGB237
MAG00221	146_1	0.05	average	ANImf	146	SGB146
MAG00222	257_1	0.05	average	ANImf	257	SGB257
MAG00223	605_1	0.05	average	ANImf	605	SGB605
MAG00224	402_1	0.05	average	ANImf	402	SGB402
MAG00225	707_2	0.05	average	ANImf	707	SGB707
MAG00226	440_1	0.05	average	ANImf	440	SGB440
MAG00227	702_1	0.05	average	ANImf	702	SGB702
MAG00228	460_1	0.05	average	ANImf	460	SGB460
MAG00229	714_1	0.05	average	ANImf	714	SGB714
MAG00230	200_1	0.05	average	ANImf	200	SGB200
MAG00231	485_1	0.05	average	ANImf	485	SGB485
MAG00232	758_1	0.05	average	ANImf	758	SGB758
MAG00233	110_2	0.05	average	ANImf	110	SGB110
MAG00234	205_1	0.05	average	ANImf	205	SGB205
MAG00235	676_1	0.05	average	ANImf	676	SGB676
MAG00236	144_1	0.05	average	ANImf	144	SGB144
MAG00237	280_1	0.05	average	ANImf	280	SGB280
MAG00238	258_2	0.05	average	ANImf	258	SGB258
MAG00239	242_2	0.05	average	ANImf	242	SGB242
MAG00240	516_1	0.05	average	ANImf	516	SGB516
MAG00241	221_1	0.05	average	ANImf	221	SGB221
MAG00242	703_1	0.05	average	ANImf	703	SGB703
MAG00243	38_1	0.05	average	ANImf	38	SGB38
MAG00244	843_3	0.05	average	ANImf	843	SGB843
MAG00245	516_1	0.05	average	ANImf	516	SGB516
MAG00246	257_1	0.05	average	ANImf	257	SGB257
MAG00247	110_2	0.05	average	ANImf	110	SGB110
MAG00248	144_1	0.05	average	ANImf	144	SGB144
MAG00249	702_1	0.05	average	ANImf	702	SGB702
MAG00250	714_1	0.05	average	ANImf	714	SGB714
MAG00251	460_1	0.05	average	ANImf	460	SGB460
MAG00252	438_1	0.05	average	ANImf	438	SGB438
MAG00253	317_1	0.05	average	ANImf	317	SGB317
MAG00254	196_1	0.05	average	ANImf	196	SGB196
MAG00255	202_1	0.05	average	ANImf	202	SGB202
MAG00256	241_1	0.05	average	ANImf	241	SGB241
MAG00257	205_1	0.05	average	ANImf	205	SGB205
MAG00258	262_2	0.05	average	ANImf	262	SGB262
MAG00259	280_1	0.05	average	ANImf	280	SGB280
MAG00260	597_1	0.05	average	ANImf	597	SGB597
MAG00261	154_1	0.05	average	ANImf	154	SGB154
MAG00262	605_1	0.05	average	ANImf	605	SGB605
MAG00263	242_2	0.05	average	ANImf	242	SGB242
MAG00264	258_2	0.05	average	ANImf	258	SGB258
MAG00265	707_2	0.05	average	ANImf	707	SGB707
MAG00266	402_1	0.05	average	ANImf	402	SGB402
MAG00267	38_1	0.05	average	ANImf	38	SGB38
MAG00268	225_1	0.05	average	ANImf	225	SGB225
MAG00269	440_1	0.05	average	ANImf	440	SGB440
MAG00270	239_1	0.05	average	ANImf	239	SGB239
MAG00271	247_1	0.05	average	ANImf	247	SGB247
MAG00272	216_1	0.05	average	ANImf	216	SGB216
MAG00273	703_1	0.05	average	ANImf	703	SGB703
MAG00274	516_1	0.05	average	ANImf	516	SGB516
MAG00275	251_1	0.05	average	ANImf	251	SGB251
MAG00276	843_1	0.05	average	ANImf	843	SGB843
MAG00277	247_1	0.05	average	ANImf	247	SGB247
MAG00278	675_1	0.05	average	ANImf	675	SGB675
MAG00279	63_1	0.05	average	ANImf	63	SGB63
MAG00280	397_0	0.05	average	ANImf	397	SGB397
MAG00281	714_1	0.05	average	ANImf	714	SGB714
MAG00282	14_1	0.05	average	ANImf	14	SGB14
MAG00283	178_1	0.05	average	ANImf	178	SGB178
MAG00284	225_1	0.05	average	ANImf	225	SGB225
MAG00285	110_2	0.05	average	ANImf	110	SGB110
MAG00286	438_1	0.05	average	ANImf	438	SGB438
MAG00287	261_1	0.05	average	ANImf	261	SGB261
MAG00288	592_16	0.05	average	ANImf	592	SGB592
MAG00289	305_1	0.05	average	ANImf	305	SGB305
MAG00290	260_1	0.05	average	ANImf	260	SGB260
MAG00291	201_1	0.05	average	ANImf	201	SGB201
MAG00292	703_1	0.05	average	ANImf	703	SGB703
MAG00293	239_1	0.05	average	ANImf	239	SGB239
MAG00294	559_1	0.05	average	ANImf	559	SGB559
MAG00295	216_1	0.05	average	ANImf	216	SGB216
MAG00296	254_1	0.05	average	ANImf	254	SGB254
MAG00297	202_1	0.05	average	ANImf	202	SGB202
MAG00298	609_3	0.05	average	ANImf	609	SGB609
MAG00299	354_1	0.05	average	ANImf	354	SGB354
MAG00300	636_0	0.05	average	ANImf	636	SGB636
MAG00301	711_1	0.05	average	ANImf	711	SGB711
MAG00302	258_3	0.05	average	ANImf	258	SGB258
MAG00303	274_1	0.05	average	ANImf	274	SGB274
MAG00304	305_1	0.05	average	ANImf	305	SGB305
MAG00305	193_1	0.05	average	ANImf	193	SGB193
MAG00306	592_16	0.05	average	ANImf	592	SGB592
MAG00307	213_1	0.05	average	ANImf	213	SGB213
MAG00308	251_1	0.05	average	ANImf	251	SGB251
MAG00309	559_1	0.05	average	ANImf	559	SGB559
MAG00310	675_1	0.05	average	ANImf	675	SGB675
MAG00311	711_1	0.05	average	ANImf	711	SGB711
MAG00312	242_2	0.05	average	ANImf	242	SGB242
MAG00313	332_1	0.05	average	ANImf	332	SGB332
MAG00314	354_1	0.05	average	ANImf	354	SGB354
MAG00315	196_1	0.05	average	ANImf	196	SGB196
MAG00316	258_3	0.05	average	ANImf	258	SGB258
MAG00317	703_1	0.05	average	ANImf	703	SGB703
MAG00318	802_1	0.05	average	ANImf	802	SGB802
MAG00319	707_1	0.05	average	ANImf	707	SGB707
MAG00320	407_1	0.05	average	ANImf	407	SGB407
MAG00321	178_1	0.05	average	ANImf	178	SGB178
MAG00322	40_1	0.05	average	ANImf	40	SGB40
MAG00323	431_1	0.05	average	ANImf	431	SGB431
MAG00324	262_2	0.05	average	ANImf	262	SGB262
MAG00325	438_1	0.05	average	ANImf	438	SGB438
MAG00326	208_1	0.05	average	ANImf	208	SGB208
MAG00327	460_1	0.05	average	ANImf	460	SGB460
MAG00328	216_1	0.05	average	ANImf	216	SGB216
MAG00329	110_2	0.05	average	ANImf	110	SGB110
MAG00330	201_1	0.05	average	ANImf	201	SGB201
MAG00331	714_1	0.05	average	ANImf	714	SGB714
MAG00332	731_1	0.05	average	ANImf	731	SGB731
MAG00333	63_1	0.05	average	ANImf	63	SGB63
MAG00334	701_1	0.05	average	ANImf	701	SGB701
MAG00335	140_1	0.05	average	ANImf	140	SGB140
MAG00336	516_1	0.05	average	ANImf	516	SGB516
MAG00337	276_2	0.05	average	ANImf	276	SGB276
MAG00338	758_1	0.05	average	ANImf	758	SGB758
MAG00339	438_1	0.05	average	ANImf	438	SGB438
MAG00340	116_1	0.05	average	ANImf	116	SGB116
MAG00341	703_1	0.05	average	ANImf	703	SGB703
MAG00342	252_1	0.05	average	ANImf	252	SGB252
MAG00343	255_1	0.05	average	ANImf	255	SGB255
MAG00344	516_1	0.05	average	ANImf	516	SGB516
MAG00345	247_1	0.05	average	ANImf	247	SGB247
MAG00346	714_1	0.05	average	ANImf	714	SGB714
MAG00347	216_1	0.05	average	ANImf	216	SGB216
MAG00348	460_1	0.05	average	ANImf	460	SGB460
MAG00349	576_1	0.05	average	ANImf	576	SGB576
MAG00350	316_2	0.05	average	ANImf	316	SGB316
MAG00351	202_1	0.05	average	ANImf	202	SGB202
MAG00352	424_1	0.05	average	ANImf	424	SGB424
MAG00353	479_2	0.05	average	ANImf	479	SGB479
MAG00354	417_1	0.05	average	ANImf	417	SGB417
MAG00355	218_1	0.05	average	ANImf	218	SGB218
MAG00356	221_1	0.05	average	ANImf	221	SGB221
MAG00357	475_1	0.05	average	ANImf	475	SGB475
MAG00358	200_1	0.05	average	ANImf	200	SGB200
MAG00359	516_1	0.05	average	ANImf	516	SGB516
MAG00360	196_1	0.05	average	ANImf	196	SGB196
MAG00361	116_1	0.05	average	ANImf	116	SGB116
MAG00362	442_1	0.05	average	ANImf	442	SGB442
MAG00363	576_1	0.05	average	ANImf	576	SGB576
MAG00364	262_2	0.05	average	ANImf	262	SGB262
MAG00365	247_1	0.05	average	ANImf	247	SGB247
MAG00366	252_1	0.05	average	ANImf	252	SGB252
MAG00367	192_1	0.05	average	ANImf	192	SGB192
MAG00368	434_1	0.05	average	ANImf	434	SGB434
MAG00369	40_1	0.05	average	ANImf	40	SGB40
MAG00370	257_1	0.05	average	ANImf	257	SGB257
MAG00371	609_3	0.05	average	ANImf	609	SGB609
MAG00372	202_1	0.05	average	ANImf	202	SGB202
MAG00373	592_2	0.05	average	ANImf	592	SGB592
MAG00374	460_1	0.05	average	ANImf	460	SGB460
MAG00375	42_2	0.05	average	ANImf	42	SGB42
MAG00376	274_1	0.05	average	ANImf	274	SGB274
MAG00377	307_1	0.05	average	ANImf	307	SGB307
MAG00378	262_2	0.05	average	ANImf	262	SGB262
MAG00379	274_1	0.05	average	ANImf	274	SGB274
MAG00380	423_1	0.05	average	ANImf	423	SGB423
MAG00381	36_1	0.05	average	ANImf	36	SGB36
MAG00382	202_1	0.05	average	ANImf	202	SGB202
MAG00383	701_1	0.05	average	ANImf	701	SGB701
MAG00384	407_1	0.05	average	ANImf	407	SGB407
MAG00385	90_1	0.05	average	ANImf	90	SGB90
MAG00386	196_1	0.05	average	ANImf	196	SGB196
MAG00387	42_2	0.05	average	ANImf	42	SGB42
MAG00388	56_1	0.05	average	ANImf	56	SGB56
MAG00389	761_1	0.05	average	ANImf	761	SGB761
MAG00390	609_3	0.05	average	ANImf	609	SGB609
MAG00391	440_1	0.05	average	ANImf	440	SGB440
MAG00392	438_1	0.05	average	ANImf	438	SGB438
MAG00393	307_1	0.05	average	ANImf	307	SGB307
MAG00394	140_2	0.05	average	ANImf	140	SGB140
MAG00395	426_2	0.05	average	ANImf	426	SGB426
MAG00396	442_1	0.05	average	ANImf	442	SGB442
MAG00397	192_1	0.05	average	ANImf	192	SGB192
MAG00398	434_1	0.05	average	ANImf	434	SGB434
MAG00399	576_1	0.05	average	ANImf	576	SGB576
MAG00400	479_1	0.05	average	ANImf	479	SGB479
MAG00401	40_1	0.05	average	ANImf	40	SGB40
MAG00402	702_1	0.05	average	ANImf	702	SGB702
MAG00403	592_2	0.05	average	ANImf	592	SGB592
MAG00404	743_0	0.05	average	ANImf	743	SGB743
MAG00405	441_1	0.05	average	ANImf	441	SGB441
MAG00406	475_1	0.05	average	ANImf	475	SGB475
MAG00407	402_1	0.05	average	ANImf	402	SGB402
MAG00408	387_1	0.05	average	ANImf	387	SGB387
MAG00409	460_1	0.05	average	ANImf	460	SGB460
MAG00410	516_1	0.05	average	ANImf	516	SGB516
MAG00411	438_1	0.05	average	ANImf	438	SGB438
MAG00412	262_2	0.05	average	ANImf	262	SGB262
MAG00413	332_1	0.05	average	ANImf	332	SGB332
MAG00414	758_1	0.05	average	ANImf	758	SGB758
MAG00415	40_1	0.05	average	ANImf	40	SGB40
MAG00416	274_1	0.05	average	ANImf	274	SGB274
MAG00417	307_1	0.05	average	ANImf	307	SGB307
MAG00418	42_2	0.05	average	ANImf	42	SGB42
MAG00419	707_2	0.05	average	ANImf	707	SGB707
MAG00420	434_1	0.05	average	ANImf	434	SGB434
MAG00421	196_1	0.05	average	ANImf	196	SGB196
MAG00422	516_1	0.05	average	ANImf	516	SGB516
MAG00423	405_1	0.05	average	ANImf	405	SGB405
MAG00424	192_1	0.05	average	ANImf	192	SGB192
MAG00425	676_1	0.05	average	ANImf	676	SGB676
MAG00426	592_2	0.05	average	ANImf	592	SGB592
MAG00427	479_1	0.05	average	ANImf	479	SGB479
MAG00428	460_1	0.05	average	ANImf	460	SGB460
MAG00429	702_1	0.05	average	ANImf	702	SGB702
MAG00430	442_1	0.05	average	ANImf	442	SGB442
MAG00431	402_1	0.05	average	ANImf	402	SGB402
MAG00432	609_3	0.05	average	ANImf	609	SGB609
MAG00433	197_1	0.05	average	ANImf	197	SGB197
MAG00434	140_1	0.05	average	ANImf	140	SGB140
MAG00435	665_1	0.05	average	ANImf	665	SGB665
MAG00436	689_1	0.05	average	ANImf	689	SGB689
MAG00437	500_1	0.05	average	ANImf	500	SGB500
MAG00438	42_1	0.05	average	ANImf	42	SGB42
MAG00439	63_1	0.05	average	ANImf	63	SGB63
MAG00440	702_1	0.05	average	ANImf	702	SGB702
MAG00441	241_1	0.05	average	ANImf	241	SGB241
MAG00442	406_1	0.05	average	ANImf	406	SGB406
MAG00443	274_1	0.05	average	ANImf	274	SGB274
MAG00444	592_7	0.05	average	ANImf	592	SGB592
MAG00445	196_1	0.05	average	ANImf	196	SGB196
MAG00446	251_1	0.05	average	ANImf	251	SGB251
MAG00447	40_1	0.05	average	ANImf	40	SGB40
MAG00448	567_1	0.05	average	ANImf	567	SGB567
MAG00449	731_1	0.05	average	ANImf	731	SGB731
MAG00450	307_1	0.05	average	ANImf	307	SGB307
MAG00451	239_1	0.05	average	ANImf	239	SGB239
MAG00452	761_1	0.05	average	ANImf	761	SGB761
MAG00453	334_2	0.05	average	ANImf	334	SGB334
MAG00454	700_2	0.05	average	ANImf	700	SGB700
MAG00455	739_3	0.05	average	ANImf	739	SGB739
MAG00456	701_1	0.05	average	ANImf	701	SGB701
MAG00457	220_3	0.05	average	ANImf	220	SGB220
MAG00458	37_1	0.05	average	ANImf	37	SGB37
MAG00459	192_1	0.05	average	ANImf	192	SGB192
MAG00460	33_1	0.05	average	ANImf	33	SGB33
MAG00461	732_1	0.05	average	ANImf	732	SGB732
MAG00462	440_1	0.05	average	ANImf	440	SGB440
MAG00463	49_2	0.05	average	ANImf	49	SGB49
MAG00464	703_1	0.05	average	ANImf	703	SGB703
MAG00465	711_1	0.05	average	ANImf	711	SGB711
MAG00466	527_1	0.05	average	ANImf	527	SGB527
MAG00467	191_1	0.05	average	ANImf	191	SGB191
MAG00468	110_1	0.05	average	ANImf	110	SGB110
MAG00469	56_1	0.05	average	ANImf	56	SGB56
MAG00470	608_1	0.05	average	ANImf	608	SGB608
MAG00471	216_1	0.05	average	ANImf	216	SGB216
MAG00472	516_1	0.05	average	ANImf	516	SGB516
MAG00473	442_1	0.05	average	ANImf	442	SGB442
MAG00474	262_1	0.05	average	ANImf	262	SGB262
MAG00475	402_1	0.05	average	ANImf	402	SGB402
MAG00476	687_1	0.05	average	ANImf	687	SGB687
MAG00477	739_3	0.05	average	ANImf	739	SGB739
MAG00478	334_2	0.05	average	ANImf	334	SGB334
MAG00479	110_1	0.05	average	ANImf	110	SGB110
MAG00480	608_1	0.05	average	ANImf	608	SGB608
MAG00481	49_2	0.05	average	ANImf	49	SGB49
MAG00482	402_1	0.05	average	ANImf	402	SGB402
MAG00483	700_2	0.05	average	ANImf	700	SGB700
MAG00484	274_1	0.05	average	ANImf	274	SGB274
MAG00485	442_1	0.05	average	ANImf	442	SGB442
MAG00486	140_1	0.05	average	ANImf	140	SGB140
MAG00487	187_1	0.05	average	ANImf	187	SGB187
MAG00488	687_1	0.05	average	ANImf	687	SGB687
MAG00489	42_1	0.05	average	ANImf	42	SGB42
MAG00490	197_1	0.05	average	ANImf	197	SGB197
MAG00491	711_1	0.05	average	ANImf	711	SGB711
MAG00492	33_1	0.05	average	ANImf	33	SGB33
MAG00493	703_1	0.05	average	ANImf	703	SGB703
MAG00494	701_1	0.05	average	ANImf	701	SGB701
MAG00495	440_1	0.05	average	ANImf	440	SGB440
MAG00496	731_1	0.05	average	ANImf	731	SGB731
MAG00497	192_1	0.05	average	ANImf	192	SGB192
MAG00498	761_1	0.05	average	ANImf	761	SGB761
MAG00499	56_1	0.05	average	ANImf	56	SGB56
